Algorithm,Strategy,Colour space,PSNR,SSIM,CIEDE2000,S-CIELAB,LPIPS,DreamSim
Floyd-Steinberg,Nearest-colour,RGB,9.714520584280871,0.12146958762912868,25.486505305832864,12.709093748836274,1.0367326736450195,0.018132328987121582
Floyd-Steinberg,Nearest-colour,CIELAB,9.12345489702963,0.09389864293261792,24.938928808667367,13.211939774660506,1.2054779529571533,0.0401119589805603
Floyd-Steinberg,Nearest-colour,CIEXYY,7.531500570886483,0.0771773793949991,34.277731212899745,31.22337544961707,1.2334681749343872,0.4713098406791687
Floyd-Steinberg,Weight-driven,RGB,11.680693055181923,0.3535891617615908,17.196670560488556,16.593688604923226,0.48553329706192017,0.25669801235198975
Floyd-Steinberg,Weight-driven,CIELAB,11.68069305518193,0.35358916176162253,17.196670560488556,16.593688604923226,0.48553329706192017,0.257287859916687
Floyd-Steinberg,Weight-driven,CIEXYY,11.680693268933013,0.3535891670207085,17.19667023394496,16.593687724008465,0.48553329706192017,0.2572961449623108
Floyd-Steinberg,Weighted-nearest (α=0.5),RGB,11.666007494389339,0.3537977700907859,17.212448867632858,16.569902981661695,0.4864967465400696,0.2535346746444702
Floyd-Steinberg,Weighted-nearest (α=0.5),CIELAB,11.671843391209029,0.3534284312290646,17.213695425789027,16.54616256657402,0.4864601790904999,0.2571941018104553
Floyd-Steinberg,Weighted-nearest (α=0.5),CIEXYY,11.679063079601361,0.35328594947564335,17.19618583167477,16.592312178904706,0.4853765666484833,0.257111132144928
Floyd-Steinberg,Softmax (α=0.5),RGB,9.292504553092003,0.14552204537506994,24.4912329464612,13.790648393556163,1.0586856603622437,0.03558617830276489
Floyd-Steinberg,Softmax (α=0.5),CIELAB,9.124495583434175,0.09373266469878035,24.936308163998767,13.211699632921727,1.2031899690628052,0.03954160213470459
Floyd-Steinberg,Softmax (α=0.5),CIEXYY,11.146357594687899,0.34076788827688276,17.82988552661157,14.81029769217986,0.5135531425476074,0.28477048873901367
Floyd-Steinberg,Error-scaled (scale),RGB,11.70476576518135,0.30616258646446387,19.441689267225797,10.668867673969002,0.6197205185890198,0.05869346857070923
Floyd-Steinberg,Error-scaled (scale),CIELAB,10.39705076774776,0.27766617890555306,19.243882546518506,13.311598057213807,0.7663636803627014,0.09489977359771729
Floyd-Steinberg,Error-scaled (scale),CIEXYY,9.003159101867682,0.23691380771778014,25.324177786500357,17.803773838336863,0.8633401393890381,0.23497343063354492
Floyd-Steinberg,Error-scaled (weighted_target),RGB,9.818607676417908,0.13220005810768096,25.17591935100061,12.64184611324149,0.9528886675834656,0.021736443042755127
Floyd-Steinberg,Error-scaled (weighted_target),CIELAB,9.114907852648228,0.10271315564282762,24.776898564607457,13.504946384345795,1.163346529006958,0.046764373779296875
Floyd-Steinberg,Error-scaled (weighted_target),CIEXYY,7.899694326894517,0.09326008021253464,32.199373674192536,28.348556104040703,1.1570909023284912,0.4600893259048462
Floyd-Steinberg,Error-scaled (confidence),RGB,11.182707021064013,0.2716470280632216,20.685079322646846,10.355581782050642,0.7257426977157593,0.04345405101776123
Floyd-Steinberg,Error-scaled (confidence),CIELAB,9.927876163737713,0.21849883806238288,20.60023233613429,12.935079627174945,0.9222431778907776,0.06263333559036255
Floyd-Steinberg,Error-scaled (confidence),CIEXYY,8.993377241798848,0.2230706059496732,25.707866333902263,15.293771099571401,0.8952536582946777,0.2929837703704834
Jarvis-Judice-Ninke,Nearest-colour,RGB,9.826289729511327,0.1290582646772009,25.168540113343038,12.564439953723259,1.0549614429473877,0.019250035285949707
Jarvis-Judice-Ninke,Nearest-colour,CIELAB,9.145416575568813,0.10180850073510882,24.738837357184742,13.426862638529506,1.2162830829620361,0.041452229022979736
Jarvis-Judice-Ninke,Nearest-colour,CIEXYY,7.860551572725058,0.08671740685082813,32.37022014302859,29.148044336691402,1.2631903886795044,0.4747523069381714
Jarvis-Judice-Ninke,Weight-driven,RGB,11.680693055181923,0.3535891617615908,17.196670560488556,16.593688604923226,0.48553329706192017,0.25669801235198975
